seed,variant,total_cost,cover12_count
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,11,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,12,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,13,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,14,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,15,36,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,16,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,17,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,18,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,19,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,20,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,21,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,22,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,23,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,24,36,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,25,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,26,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,27,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,28,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,29,29,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,30,36,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,31,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,32,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,33,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,34,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,35,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,36,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,37,36,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,38,39,307
W33_N12_58_pareto_frontier_bundle_20260112.zip:v4_cover307_total31/w33_to_n12_mapping.csv,39,39,307
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,0,36,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,1,32,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,2,32,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,3,32,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,4,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,5,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,6,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,7,36,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,8,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,9,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,10,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,11,36,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,12,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,13,32,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,14,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,15,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,16,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,17,36,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,18,36,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,19,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,20,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,21,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,22,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,23,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,24,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,25,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,26,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,27,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,28,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,29,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,30,36,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,31,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,32,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,33,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,34,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,35,39,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,36,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,37,29,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,38,32,302
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip:best_w33_to_n12_mapping.csv,39,39,302
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,0,32,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,1,32,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,2,32,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,3,29,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,4,32,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,5,39,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,6,38,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,7,39,276
W33_N12_58_phase_aware_bundle_v2_20260112.zip:W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,8,38,276
