triad_id,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask_hex
204,8,28,32,C02,C05,X35,12,1,0xfff
205,8,30,31,C02,C18,C20,12,1,0xfff
206,9,13,27,C04,C31,C37,12,1,0xfff
207,9,13,38,C04,C31,X36,9,0,0xe3f
208,9,14,25,C04,C16,C34,12,1,0xfff
209,9,14,39,C04,C16,C21,12,1,0xfff
210,9,16,30,C04,C14,C18,12,1,0xfff
211,9,16,32,C04,C14,X35,9,0,0xe3f
212,9,18,29,C04,C33,C11,12,1,0xfff
213,9,18,31,C04,C33,C20,12,1,0xfff
214,9,20,22,C04,C32,C23,12,1,0xfff
215,9,20,36,C04,C32,C15,12,1,0xfff
216,9,21,23,C04,C10,C25,12,1,0xfff
217,9,21,34,C04,C10,C19,12,1,0xfff
218,9,22,36,C04,C23,C15,12,1,0xfff
219,9,23,34,C04,C25,C19,9,0,0xfc7
220,9,25,39,C04,C34,C21,9,0,0xe3f
221,9,27,38,C04,C37,X36,12,1,0xfff
222,9,29,31,C04,C11,C20,12,1,0xfff
223,9,30,32,C04,C18,X35,12,1,0xfff
224,10,11,12,C28,C17,C03,12,1,0xfff
225,10,13,28,C28,C31,C05,12,1,0xfff
226,10,13,34,C28,C31,C19,12,1,0xfff
227,10,15,30,C28,C26,C18,12,1,0xfff
228,10,15,36,C28,C26,C15,12,1,0xfff
229,10,16,22,C28,C14,C23,12,1,0xfff
230,10,16,37,C28,C14,C09,9,0,0xfc7
231,10,18,24,C28,C33,C24,12,1,0xfff
232,10,18,39,C28,C33,C21,12,1,0xfff
233,10,19,25,C28,F35,C34,12,1,0xfff
234,10,19,31,C28,F35,C20,12,1,0xfff
235,10,21,27,C28,C10,C37,12,1,0xfff
236,10,21,33,C28,C10,C07,12,1,0xfff
237,10,22,37,C28,C23,C09,12,1,0xfff
238,10,24,39,C28,C24,C21,12,1,0xfff
239,10,25,31,C28,C34,C20,12,1,0xfff
240,10,27,33,C28,C37,C07,12,1,0xfff
241,10,28,34,C28,C05,C19,12,1,0xfff
242,10,30,36,C28,C18,C15,12,1,0xfff
243,11,13,29,C17,C31,C11,9,0,0xe3f
244,11,13,36,C17,C31,C15,12,1,0xfff
245,11,15,28,C17,C26,C05,12,1,0xfff
246,11,15,35,C17,C26,C29,12,1,0xfff
247,11,17,24,C17,C06,C24,12,1,0xfff
248,11,17,37,C17,C06,C09,12,1,0xfff
249,11,18,22,C17,C33,C23,12,1,0xfff
250,11,18,38,C17,C33,X36,12,1,0xfff
251,11,19,26,C17,F35,C12,12,1,0xfff
252,11,19,33,C17,F35,C07,12,1,0xfff
253,11,20,27,C17,C32,C37,12,1,0xfff
254,11,20,31,C17,C32,C20,12,1,0xfff
255,11,22,38,C17,C23,X36,12,1,0xfff
256,11,24,37,C17,C24,C09,12,1,0xfff
