tetra_id,Pi_family_S6,Pi_type_single_double,rank_block,rank_block_P1F9,rank_block_triads,points,points_rank_suit,suits_by_rank_order,suit_pattern_sorted
41,syntheme,double,"[1, 2, 6, 9]","['0', '1', '1+2a', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 4, 6], [2, 3, 5]], [[1, 5, 6], [2, 3, 4]]]","[7, 16, 26, 29]","['1:3', '2:2', '6:0', '9:1']","[3, 2, 0, 1]","[0, 1, 2, 3]"
42,syntheme,double,"[1, 2, 7, 8]","['0', '1', '1+1a', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]]]","[4, 15, 17, 26]","['1:0', '2:2', '7:3', '8:1']","[0, 2, 3, 1]","[0, 1, 2, 3]"
43,syntheme,double,"[1, 2, 7, 8]","['0', '1', '1+1a', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]]]","[5, 8, 14, 35]","['1:1', '2:0', '7:2', '8:3']","[1, 0, 2, 3]","[0, 1, 2, 3]"
44,syntheme,double,"[1, 2, 7, 8]","['0', '1', '1+1a', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]]]","[6, 23, 32, 37]","['1:2', '2:3', '7:1', '8:0']","[2, 3, 1, 0]","[0, 1, 2, 3]"
45,syntheme,double,"[1, 2, 7, 8]","['0', '1', '1+1a', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 3, 5], [2, 4, 6]], [[1, 3, 4], [2, 5, 6]]]","[7, 25, 30, 36]","['1:3', '2:1', '7:0', '8:2']","[3, 1, 0, 2]","[0, 1, 2, 3]"
46,syntheme,double,"[1, 3, 5, 8]","['0', '2+1a', '2', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 4], [2, 5, 6]]]","[4, 19, 30, 33]","['1:0', '3:3', '5:1', '8:2']","[0, 3, 1, 2]","[0, 1, 2, 3]"
47,syntheme,double,"[1, 3, 5, 8]","['0', '2+1a', '2', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 4], [2, 5, 6]]]","[5, 22, 32, 39]","['1:1', '3:2', '5:3', '8:0']","[1, 2, 3, 0]","[0, 1, 2, 3]"
48,syntheme,double,"[1, 3, 5, 8]","['0', '2+1a', '2', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 4], [2, 5, 6]]]","[6, 9, 12, 35]","['1:2', '3:1', '5:0', '8:3']","[2, 1, 0, 3]","[0, 1, 2, 3]"
49,syntheme,double,"[1, 3, 5, 8]","['0', '2+1a', '2', '1a']","[[[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 2, 6], [3, 4, 5]], [[1, 3, 4], [2, 5, 6]]]","[7, 17, 28, 34]","['1:3', '3:0', '5:2', '8:1']","[3, 0, 2, 1]","[0, 1, 2, 3]"
50,duad,single,"[1, 3, 7, 9]","['0', '2+1a', '1+1a', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 5, 6], [2, 3, 4]]]","[4, 9, 14, 27]","['1:0', '3:1', '7:2', '9:3']","[0, 1, 2, 3]","[0, 1, 2, 3]"
51,duad,single,"[1, 3, 7, 9]","['0', '2+1a', '1+1a', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 3, 5], [2, 4, 6]], [[1, 5, 6], [2, 3, 4]]]","[7, 22, 24, 37]","['1:3', '3:2', '7:1', '9:0']","[3, 2, 1, 0]","[0, 1, 2, 3]"
52,syntheme,double,"[1, 4, 5, 9]","['0', '2+2a', '2', '2a']","[[[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 2, 6], [3, 4, 5]], [[1, 5, 6], [2, 3, 4]]]","[4, 11, 29, 34]","['1:0', '4:3', '5:2', '9:1']","[0, 3, 2, 1]","[0, 1, 2, 3]"
