u,v,z2_voltage,s3_perm,s3_class,s3_sign
16,18,1,"(0, 1, 2)",id,0
16,20,1,"(1, 0, 2)",transposition,1
16,21,1,"(1, 0, 2)",transposition,1
16,23,0,"(0, 1, 2)",id,0
16,24,0,"(0, 1, 2)",id,0
16,25,1,"(1, 0, 2)",transposition,1
16,27,1,"(1, 2, 0)",3-cycle,0
16,30,1,"(1, 2, 0)",3-cycle,0
16,31,0,"(0, 1, 2)",id,0
16,32,0,"(0, 1, 2)",id,0
16,33,1,"(0, 1, 2)",id,0
16,35,0,"(1, 2, 0)",3-cycle,0
16,36,1,"(0, 2, 1)",transposition,1
16,37,1,"(2, 0, 1)",3-cycle,0
16,38,1,"(0, 1, 2)",id,0
16,40,1,"(2, 0, 1)",3-cycle,0
16,41,0,"(0, 2, 1)",transposition,1
16,42,0,"(2, 1, 0)",transposition,1
16,43,1,"(2, 0, 1)",3-cycle,0
17,0,0,"(0, 1, 2)",id,0
17,1,0,"(0, 1, 2)",id,0
17,2,0,"(0, 1, 2)",id,0
17,3,1,"(0, 2, 1)",transposition,1
17,5,1,"(0, 2, 1)",transposition,1
17,7,1,"(0, 2, 1)",transposition,1
17,9,0,"(0, 1, 2)",id,0
17,10,0,"(0, 1, 2)",id,0
17,11,1,"(2, 1, 0)",transposition,1
17,13,1,"(2, 1, 0)",transposition,1
17,15,1,"(0, 2, 1)",transposition,1
17,18,0,"(0, 1, 2)",id,0
17,19,0,"(0, 1, 2)",id,0
17,20,0,"(0, 1, 2)",id,0
17,21,0,"(0, 1, 2)",id,0
17,22,0,"(0, 1, 2)",id,0
17,23,0,"(0, 1, 2)",id,0
17,24,0,"(0, 1, 2)",id,0
17,25,0,"(0, 1, 2)",id,0
17,26,0,"(0, 1, 2)",id,0
17,28,1,"(1, 2, 0)",3-cycle,0
17,30,1,"(0, 2, 1)",transposition,1
17,32,1,"(0, 2, 1)",transposition,1
17,33,1,"(0, 2, 1)",transposition,1
17,34,1,"(0, 1, 2)",id,0
17,35,1,"(0, 2, 1)",transposition,1
17,36,1,"(2, 1, 0)",transposition,1
17,37,1,"(2, 1, 0)",transposition,1
17,38,1,"(2, 1, 0)",transposition,1
17,42,0,"(0, 1, 2)",id,0
17,43,0,"(0, 1, 2)",id,0
17,44,0,"(1, 2, 0)",3-cycle,0
18,0,0,"(0, 1, 2)",id,0
18,1,0,"(0, 1, 2)",id,0
18,2,0,"(0, 1, 2)",id,0
18,4,1,"(0, 2, 1)",transposition,1
18,6,1,"(0, 2, 1)",transposition,1
18,8,1,"(0, 1, 2)",id,0
18,9,0,"(0, 1, 2)",id,0
18,10,0,"(0, 1, 2)",id,0
18,12,1,"(2, 1, 0)",transposition,1
18,14,1,"(2, 0, 1)",3-cycle,0
18,16,1,"(0, 1, 2)",id,0
18,17,0,"(0, 1, 2)",id,0
18,19,0,"(0, 1, 2)",id,0
18,20,0,"(0, 1, 2)",id,0
18,21,0,"(1, 2, 0)",3-cycle,0
18,22,0,"(0, 1, 2)",id,0
18,23,0,"(0, 1, 2)",id,0
18,24,0,"(0, 1, 2)",id,0
18,25,0,"(0, 1, 2)",id,0
18,26,0,"(0, 1, 2)",id,0
18,27,1,"(2, 0, 1)",3-cycle,0
18,29,1,"(2, 1, 0)",transposition,1
18,31,1,"(2, 1, 0)",transposition,1
18,33,0,"(0, 1, 2)",id,0
18,34,0,"(0, 1, 2)",id,0
18,35,0,"(0, 1, 2)",id,0
18,36,0,"(2, 1, 0)",transposition,1
18,37,0,"(1, 2, 0)",3-cycle,0
18,38,0,"(0, 1, 2)",id,0
18,42,1,"(0, 1, 2)",id,0
18,43,1,"(0, 1, 2)",id,0
18,44,1,"(0, 2, 1)",transposition,1
19,0,0,"(0, 1, 2)",id,0
19,2,1,"(2, 1, 0)",transposition,1
19,3,0,"(0, 1, 2)",id,0
19,4,0,"(0, 1, 2)",id,0
19,6,1,"(0, 1, 2)",id,0
19,7,1,"(0, 1, 2)",id,0
19,10,1,"(2, 1, 0)",transposition,1
19,11,0,"(0, 1, 2)",id,0
19,12,0,"(0, 1, 2)",id,0
19,14,1,"(1, 2, 0)",3-cycle,0
19,15,1,"(2, 1, 0)",transposition,1
19,17,0,"(0, 1, 2)",id,0
19,18,0,"(0, 1, 2)",id,0
19,20,0,"(0, 1, 2)",id,0
19,21,0,"(0, 1, 2)",id,0
19,22,0,"(1, 0, 2)",transposition,1
19,23,0,"(0, 1, 2)",id,0
19,24,0,"(0, 1, 2)",id,0
19,25,1,"(1, 0, 2)",transposition,1
19,27,0,"(0, 1, 2)",id,0
19,28,0,"(0, 1, 2)",id,0
19,29,1,"(0, 2, 1)",transposition,1
