potential,m,branch,mu_cross_mass0p6,max_defect_mass,max_ipr,eigval_mu_minus2,eigval_mu_plus2,defect_mass_mu_plus2,O6_mass_mu_plus2,O12_mass_mu_plus2,bias_mu_plus2,slope_mu_ge_1p5,localized_mass0p6,min_overlap,median_overlap
V_O6_minus_O12,3,7,,0.16459560208459403,0.06216788430041862,2.6665336783747526,2.6511622248399864,0.08601755913510307,0.08139243055750575,0.005721710750282995,O6,0.10393489798073616,0,0.9936739218905205,0.9999507208954201
V_O6_minus_O12,3,8,,0.19332541221527158,0.056052300034199753,2.403651710914591,2.5365952006081804,0.0600162917558366,0.03997728913995334,0.026946126006010585,O6,0.017157411975937554,0,0.9936527001416141,0.9999338508047841
V_O6_minus_O12,3,9,,0.45316143425435296,0.06273872890146918,2.1267006744061767,2.2109517310635654,0.42966727135231153,0.3813673271954513,0.1201127981036523,O6,0.24326648145834784,0,0.9890697840270997,0.9998988562146431
V_O6_minus_O12,3,10,,0.20378639084088415,0.0449715069102251,1.9923448424874506,1.9867206975926657,0.124945369747778,0.12048296261812597,0.009569102882413142,O6,0.04882239048894186,0,0.9891376023883244,0.9999278392045775
V_O6_minus_O12,3,11,,0.2062297567135094,0.04497285826547201,1.8968408011873985,1.9301178384573767,0.13528827783752895,0.12706568597534396,0.01573216381502582,O6,0.16216605391191963,0,0.9946869832189674,0.999818378513298
V_O6_minus_O12,3,12,,0.3130450801596479,0.06383484681005441,1.7153662722397154,1.848134354183747,0.03652563868207664,0.01827840358424134,0.019905247862353752,O12,0.030197790525705107,0,0.9917834609538341,0.9998165120904279
V_O6_minus_O12,3,13,,0.19605442601948705,0.05468275876897076,1.6210232055268639,1.6038967333156846,0.06280234530486896,0.05661597526463437,0.009741703418224498,O6,0.03400692203518052,0,0.9841834161800534,0.9998258262583547
V_O6_minus_O12,3,14,,0.1556971171430879,0.06178650020988229,1.519705790359602,1.5199061501586277,0.11835089886874624,0.07537231387692356,0.0990766037925536,O12,-0.02897095276590991,0,0.9841889459286179,0.9998762479045096
V_O6_minus_O12,3,15,,0.1206665537584258,0.0512601035495522,1.3181664109067712,1.3250087262924635,0.042479778714144184,0.01852023500269446,0.027193743225016737,O12,-0.004155299779931196,0,0.9998092304920132,0.9998535546492963
V_O6_minus_O12,3,16,,0.0844887957384335,0.06356825270253923,1.227112894369725,1.2333898271835486,0.05352991920580376,0.045284186145320406,0.015604842803630416,O6,0.03458724179722214,0,0.974150349536499,0.9998783986366725
V_O6_minus_O12,3,17,,0.1393228415069378,0.07465131383382476,1.150608261348603,1.1449607415427316,0.1393228415069378,0.1159757945326221,0.08552673763871434,O6,0.006586838456908203,0,0.9741236514026748,0.9999107331515432
V_O6_minus_O12,3,18,,0.2834352477207388,0.054777464733484736,1.0277742864142405,1.0803835965629247,0.023719967459044082,0.017323164633321,0.00763931860210992,O6,0.009462233586910477,0,0.9980727942213568,0.999872868089649
V_O6_minus_O12,3,19,,0.37293787056796013,0.06251845260441397,0.958568306138965,1.028922268139347,0.1775123181889855,0.17636830680814194,0.0013351874252846264,O6,0.18943023335556955,0,0.8802280039376849,0.9996355234896965
V_O6_minus_O12,4,0,,0.3384461139701571,0.05747149445936169,4.917494581526125,4.70550752576056,0.13322188456795434,0.11195683248202375,0.03869568279483889,O6,0.03587266944459546,0,0.9999199774823149,0.9999946123847671
V_O6_minus_O12,4,1,1.4000000000000004,0.7021625365141362,0.14023097730571427,4.318209474647714,4.224104627870019,0.6989155431833115,0.6780345353268705,0.08669807423005153,O6,0.5513838287811051,1,0.9989930087097295,0.9998865483611118
V_O6_minus_O12,4,2,,0.25848325064096395,0.04445968140548103,3.755175829508514,3.6677802168170284,0.05784396258740984,0.04575692138332519,0.012979031618028252,O6,0.02419714454257648,0,0.9989865552400007,0.9999048776088759
V_O6_minus_O12,4,3,,0.27086548945738226,0.04306405486950775,3.5188758786710137,3.511618187941406,0.04928508114027171,0.038309765946643176,0.014200665657225057,O6,0.033058457615567104,0,0.9998460593629914,0.999939055690749
V_O6_minus_O12,4,4,,0.095712536985543,0.03878175476944589,3.2055751894418565,3.1423157789625016,0.095712536985543,0.08717428865066719,0.016386404262467544,O6,0.038280037594808754,0,0.9998877496578317,0.9999798572548462
V_O6_minus_O12,4,5,,0.24888643920366377,0.04453177800836316,2.9971858302775285,2.917759481298875,0.24888643920366377,0.23223836263899741,0.025816487690472255,O6,0.10846147104310576,0,0.9993625788237668,0.9999558412809134
