component_id,center_quad,outer_quad,triad_a,triad_b,triad_a_idx,triad_b_idx,excluded_a,excluded_b,edge_matching_idx,matching_pairs
84,12 13 30 35,2 14 18 19,2 14 18,2 18 19,58,63,19,14,1,"((2, 18), (14, 19))"
84,12 13 30 35,2 14 18 19,2 14 18,14 18 19,58,290,19,2,2,"((2, 19), (14, 18))"
84,12 13 30 35,2 14 18 19,2 14 19,2 18 19,59,63,18,14,2,"((2, 19), (14, 18))"
84,12 13 30 35,2 14 18 19,2 14 19,14 18 19,59,290,18,2,1,"((2, 18), (14, 19))"
84,12 13 30 35,2 14 18 19,2 18 19,14 18 19,63,290,14,2,0,"((2, 14), (18, 19))"
85,12 15 29 34,8 14 27 37,8 14 27,8 14 37,190,191,37,27,0,"((8, 14), (27, 37))"
85,12 15 29 34,8 14 27 37,8 14 27,8 27 37,190,203,37,14,1,"((8, 27), (14, 37))"
85,12 15 29 34,8 14 27 37,8 14 27,14 27 37,190,296,37,8,2,"((8, 37), (14, 27))"
85,12 15 29 34,8 14 27 37,8 14 37,8 27 37,191,203,27,14,2,"((8, 37), (14, 27))"
85,12 15 29 34,8 14 27 37,8 14 37,14 27 37,191,296,27,8,1,"((8, 27), (14, 37))"
85,12 15 29 34,8 14 27 37,8 27 37,14 27 37,203,296,14,8,0,"((8, 14), (27, 37))"
86,12 16 24 38,8 19 23 36,8 19 23,8 19 36,196,197,36,23,0,"((8, 19), (23, 36))"
86,12 16 24 38,8 19 23 36,8 19 23,8 23 36,196,201,36,19,1,"((8, 23), (19, 36))"
86,12 16 24 38,8 19 23 36,8 19 23,19 23 36,196,327,36,8,2,"((8, 36), (19, 23))"
86,12 16 24 38,8 19 23 36,8 19 36,8 23 36,197,201,23,19,2,"((8, 36), (19, 23))"
86,12 16 24 38,8 19 23 36,8 19 36,19 23 36,197,327,23,8,1,"((8, 23), (19, 36))"
86,12 16 24 38,8 19 23 36,8 23 36,19 23 36,201,327,19,8,0,"((8, 19), (23, 36))"
87,12 17 22 39,2 23 27 28,2 23 27,2 23 28,64,65,28,27,0,"((2, 23), (27, 28))"
87,12 17 22 39,2 23 27 28,2 23 27,2 27 28,64,69,28,23,1,"((2, 27), (23, 28))"
87,12 17 22 39,2 23 27 28,2 23 27,23 27 28,64,346,28,2,2,"((2, 28), (23, 27))"
87,12 17 22 39,2 23 27 28,2 23 28,2 27 28,65,69,27,23,2,"((2, 28), (23, 27))"
87,12 17 22 39,2 23 27 28,2 23 28,23 27 28,65,346,27,2,1,"((2, 27), (23, 28))"
87,12 17 22 39,2 23 27 28,2 27 28,23 27 28,69,346,23,2,0,"((2, 23), (27, 28))"
88,12 20 25 33,8 18 28 32,8 18 28,8 18 32,194,195,32,28,0,"((8, 18), (28, 32))"
88,12 20 25 33,8 18 28 32,8 18 28,8 28 32,194,204,32,18,1,"((8, 28), (18, 32))"
88,12 20 25 33,8 18 28 32,8 18 28,18 28 32,194,323,32,8,2,"((8, 32), (18, 28))"
88,12 20 25 33,8 18 28 32,8 18 32,8 28 32,195,204,28,18,2,"((8, 32), (18, 28))"
88,12 20 25 33,8 18 28 32,8 18 32,18 28 32,195,323,28,8,1,"((8, 28), (18, 32))"
88,12 20 25 33,8 18 28 32,8 28 32,18 28 32,204,323,18,8,0,"((8, 18), (28, 32))"
89,12 21 26 31,2 32 36 37,2 32 36,2 32 37,70,71,37,36,0,"((2, 32), (36, 37))"
89,12 21 26 31,2 32 36 37,2 32 36,2 36 37,70,75,37,32,1,"((2, 36), (32, 37))"
89,12 21 26 31,2 32 36 37,2 32 36,32 36 37,70,354,37,2,2,"((2, 37), (32, 36))"
89,12 21 26 31,2 32 36 37,2 32 37,2 36 37,71,75,36,32,2,"((2, 37), (32, 36))"
89,12 21 26 31,2 32 36 37,2 32 37,32 36 37,71,354,36,2,1,"((2, 36), (32, 37))"
89,12 21 26 31,2 32 36 37,2 36 37,32 36 37,75,354,32,2,0,"((2, 32), (36, 37))"
