potential,m,branch,mu,eig_rank,eigval,ipr,mass_defect7,mass_O6,mass_O12,overlap_score,O6_bias_frac
V_O12_4,3,1,-0.2749999999999999,2,3.6858321491798134,0.046719704772337785,0.03180741743203607,0.0064616955584702014,0.027032604807618172,0.9999612910308825,0.19291925753491745
V_O12_4,3,1,-0.25,2,3.6865197409992048,0.04664208651688408,0.03259186765965805,0.0061322118814120755,0.02799357758762867,0.9999526354271544,0.17969435950472543
V_O12_4,3,1,-0.22499999999999987,2,3.6872328819429505,0.04655807669209832,0.033487122379118404,0.005770652343547553,0.02908129362089659,0.9999411900405583,0.1655761876042497
V_O12_4,3,1,-0.19999999999999996,2,3.687975136172159,0.04646609814692117,0.03452633149674187,0.005376546199983686,0.030329062906746484,0.9999257970431547,0.15057987622509647
V_O12_4,3,1,-0.17499999999999982,2,3.688751041990942,0.046364015506654754,0.03575572558170158,0.004951475261469277,0.03178223052660753,0.999904709620768,0.13479378557394708
V_O12_4,3,1,-0.1499999999999999,2,3.6895664754748085,0.04624889940285832,0.037240868847343365,0.004500785560534429,0.03350356948575735,0.9998752370859465,0.11842815264023691
V_O12_4,3,1,-0.125,2,3.6904291817660577,0.046116681388160434,0.03907639972700022,0.0040365870652695575,0.03558151730981356,0.999833145218317,0.1018874357781335
V_O12_4,3,1,-0.09999999999999987,2,3.6913495642842875,0.04596165257790831,0.0414014225384461,0.0035830494858114046,0.038142917834621544,0.9997716276188938,0.08587097473881539
V_O12_4,3,1,-0.07499999999999996,2,3.6923418747955044,0.04577575498516328,0.04442407125226501,0.003185817993051223,0.041372882355427604,0.9996795268156886,0.07149710310364753
V_O12_4,3,1,-0.04999999999999982,2,3.693426028003394,0.04554765077881659,0.04846073569260057,0.002928802105962167,0.0455456461681749,0.9995382781576095,0.06041950368034149
V_O12_4,3,1,-0.02499999999999991,2,3.6946303754803362,0.04526173163720809,0.053997527970671255,0.002963861500722021,0.05107126541901157,0.9993168593990321,0.054850643824152286
V_O12_4,3,1,0.0,2,3.695995880997437,0.04489782267857672,0.06178075423914199,0.0035615393473024688,0.058560909236727944,0.9989643862826285,0.05733095569192824
V_O12_4,3,1,0.02499999999999991,2,3.697582071287419,0.0444339599989639,0.07292818774084489,0.005189992612799485,0.06889910265621273,0.9984030094547314,0.0700506949623955
V_O12_4,3,1,0.050000000000000266,2,3.6994743303230075,0.043858028064426256,0.08899284132783321,0.008609137433990555,0.08326133208494974,0.9975354388499897,0.09370951818333702
V_O12_4,3,1,0.07500000000000018,2,3.70178927542262,0.04319719104276906,0.11175877836011805,0.014890772442482682,0.10290132889393447,0.996309208507185,0.12641571271258548
V_O12_4,3,1,0.10000000000000009,2,3.70466903609287,0.04256258869866274,0.14238151389164788,0.02513058005873847,0.12843701232659693,0.994891283293202,0.16364507425184202
V_O12_4,3,1,0.125,2,3.708251528885359,0.0421585138746976,0.1798861301899271,0.03965618112333204,0.15874370130902749,0.9938373700891556,0.19988006362177227
V_O12_4,3,1,0.1499999999999999,2,3.7126199269206204,0.04218142545340759,0.2205236674654942,0.05727528046831256,0.19068091243272461,0.9937982837634513,0.2309895139055508
V_O12_4,3,1,0.17500000000000027,2,3.7177693448760634,0.04268091353976389,0.2596440016229531,0.07572930537607611,0.22073233881229212,0.9947952160207221,0.25544385542064646
V_O12_4,3,1,0.20000000000000018,2,3.7236240651528063,0.04356222367717579,0.2943334212863499,0.09308016423472179,0.24695045283826467,0.9961932905558148,0.27374053853058977
V_O12_4,3,1,0.2250000000000001,2,3.7300833535894746,0.0446968561784227,0.32399464113431553,0.10844378150019493,0.26917481936502585,0.9974209208453786,0.2871780713435072
V_O12_4,3,1,0.25,2,3.737055526324115,0.04599207136085499,0.3493213184147261,0.12175393012104116,0.28812818957664027,0.9982948385234109,0.29704620979940943
V_O12_4,3,1,0.2749999999999999,2,3.7444697283170467,0.047396451517135944,0.37131907586454826,0.13329609568528278,0.304671224108638,0.9988612682432835,0.3043516939750185
V_O12_4,3,1,0.30000000000000027,2,3.7522749227467234,0.04888449768623179,0.3908678521648821,0.14342092145332436,0.31950756323979473,0.9992167872550173,0.30981226300665
V_O12_4,3,1,0.3250000000000002,2,3.7604351259742437,0.05044356771830308,0.40862438010991353,0.1524339207408567,0.33314082482014823,0.9994399660775267,0.31392472968179075
V_O12_4,3,1,0.3500000000000001,2,3.7689248148162067,0.05206657498862626,0.4250486789039579,0.1605720398335268,0.34591240356619546,0.9995823988380367,0.31703252079251887
V_O12_4,3,1,0.375,2,3.7777254740744834,0.05374850636762166,0.440455128897308,0.16801069098425714,0.35804880071021516,0.999675551859698,0.3193758379736943
V_O12_4,3,1,0.40000000000000036,2,3.786823218347451,0.055484902031038244,0.4550570027601486,0.1748775416755183,0.3696991439099224,0.9997382211959803,0.3211256491584783
V_O12_4,3,1,0.42500000000000027,2,3.7962072057685514,0.057271250745389836,0.46899902263927296,0.18126525056873577,0.38096132165590596,0.9997816661648958,0.32240605393511623
V_O12_4,3,1,0.4500000000000002,2,3.805868589441306,0.05910279394332817,0.4823797254653001,0.1872413866883717,0.39189936764655475,0.9998127237121948,0.3233089456863947
V_O12_4,3,1,0.4750000000000001,2,3.8157998236914232,0.06097450623377157,0.4952665012940579,0.1928556818180317,0.40255486993233514,0.999835621529203,0.32390370182516504
V_O12_4,3,1,0.5,2,3.825994203112801,0.06288114759345965,0.5077056675155126,0.19814520229753305,0.41295446659460405,0.9998530255675462,0.3242436747780053
V_O12_4,3,1,0.5250000000000004,2,3.8364455550397585,0.06481734011460287,0.5197292455517858,0.20313800622249867,0.4231148072274634,0.9998666498597621,0.3243706085775615
V_O12_4,3,1,0.5500000000000003,2,3.847148034023405,0.06677764810816787,0.53135955159518,0.20785572722584694,0.4330458686570612,0.9998776168346976,0.32431769332572796
V_O12_4,3,1,0.5750000000000002,2,3.8580959847770058,0.06875665213525887,0.5426123287551906,0.21231540372822613,0.44275319123312235,0.9998866740901116,0.32411171190465854
V_O12_4,3,1,0.6000000000000001,2,3.8692838514630847,0.07074901298520732,0.5534988956048801,0.21653077743533833,0.4522393977056754,0.9998943273315576,0.32377457231754975
V_O12_4,3,1,0.625,2,3.8807061185168337,0.07274952420618931,0.5640276233567687,0.2205132166471037,0.46150522833757074,0.9999009234718185,0.3233244177901017
V_O12_4,3,1,0.6500000000000004,2,3.8923572729544063,0.07475315306404533,0.5742049492045556,0.22427237258881877,0.4705502450752152,0.9999067035378815,0.3227764423422064
V_O12_4,3,1,0.6750000000000003,2,3.9042317812455303,0.07675507044777385,0.5840360656290571,0.22781664446782657,0.4793733062517521,0.9999118369380954,0.32214349798904357
V_O12_4,3,1,0.7000000000000002,2,3.9163240759241766,0.07875067056836854,0.5935253811686036,0.23115350665205758,0.4879728802605773,0.9999164440070105,0.3214365525427709
V_O12_4,3,1,0.7250000000000001,2,3.928628548533389,0.08073558145543361,0.602676818787435,0.23428973597013805,0.4963472450592119,0.9999206110463599,0.32066503893594445
V_O12_4,3,1,0.75,2,3.9411395464809638,0.08270566731246956,0.6114939982053578,0.23723156640692794,0.5044946060332799,0.9999244004812976,0.3198371248329273
V_O12_4,3,1,0.7750000000000004,2,3.953851372067029,0.08465702378260304,0.6199803350224509,0.23998479091273978,0.512413155063854,0.9999278577864251,0.3189599229978314
V_O12_4,3,1,0.8000000000000003,2,3.966758282427328,0.08658596712252585,0.6281390800573319,0.2425548246578155,0.5201010869734699,0.9999310162441671,0.31803965714850885
V_O12_4,3,1,0.8250000000000002,2,3.979854489478584,0.08848901819722803,0.6359733156555112,0.2449467401768136,0.5275565848506054,0.9999339002284275,0.3170817940075565
V_O12_4,3,1,0.8500000000000001,2,3.993134159195758,0.09036288210190442,0.6434859209337381,0.24716528201062637,0.5347777824132036,0.9999365274718087,0.3160911494143535
V_O12_4,3,1,0.875,2,4.006591409723179,0.09220442409817772,0.6506795144278663,0.24921486635900653,0.5417627091433714,0.9999389106232393,0.3150719743229209
V_O12_4,3,1,0.9000000000000004,2,4.020220307941203,0.09401064242573662,0.6575563800187116,0.25109956969674035,0.5485092221269304,0.9999410583035712,0.31402802503427035
V_O12_4,3,1,0.9250000000000003,2,4.034014864190716,0.09577863842267349,0.6641183800608127,0.2528231091321697,0.5550149271753785,0.9999429758005471,0.312962620932602
V_O12_4,3,1,0.9500000000000002,2,4.047969024908617,0.0975055842618415,0.6703668581513013,0.2543888163960464,0.5612770907654461,0.9999446654998347,0.3118786921976481
V_O12_4,3,1,0.9750000000000001,2,4.062076662955235,0.09918868848919388,0.6763025328230641,0.25579960666697554,0.5672925435137939,0.9999461271180216,0.3107788193709361
V_O12_4,3,1,1.0,2,4.076331565424038,0.10082515943520971,0.6819253825369037,0.2570579429132165,0.5730575752485677,0.9999473577820028,0.3096652662055257
V_O12_4,3,1,1.0250000000000004,2,4.090727418718612,0.10241216646349892,0.687234521615346,0.25816579602002365,0.5785678212003251,0.9999483519838354,0.3085400068869573
V_O12_4,3,1,1.0500000000000003,2,4.1052577906641385,0.10394679892268796,0.6922280661583592,0.25912460064809206,0.5838181383803835,0.999949101429019,0.30740474844879245
V_O12_4,3,1,1.0750000000000002,2,4.119916109392253,0.1054260225799304,0.6969029884738619,0.25993520651105345,0.5888024708222616,0.9999495947878227,0.3062609489983391
V_O12_4,3,1,1.1,2,4.13469563870066,0.10684663323867934,0.7012549581202979,0.26059782455369584,0.5935137020175063,0.9999498173529358,0.30510983220136445
V_O12_4,3,1,1.125,2,4.149589449543338,0.10820520718242477,0.7052781672806808,0.26111196734820374,0.5979434925737555,0.9999497506017323,0.3039523983371463
V_O12_4,3,1,1.1500000000000004,2,4.164590387254449,0.10949804804439651,0.7089651378637827,0.2614763828991534,0.6020821008616559,0.9999493716574279,0.30278943211827103
V_O12_4,3,1,1.1750000000000003,2,4.179691034050506,0.11072112968747776,0.7123065074651496,0.26168898096002613,0.6059181842083017,0.9999486526403052,0.30162150736612836
V_O12_4,3,1,1.2000000000000002,2,4.194883666292441,0.1118700346989603,0.7152907911389536,0.2617467509216841,0.6094385780602436,0.9999475598978483,0.3004489885375623
V_O12_4,3,1,1.225,2,4.210160205924222,0.11293988817607964,0.7179041158686574,0.26164567035070885,0.6126280505159802,0.9999460531013478,0.29927202900601174
V_O12_4,3,1,1.25,2,4.225512165441024,0.11392528662165201,0.7201299247406721,0.2613806033561856,0.6154690297742235,0.9999440841966726,0.29809056590779665
V_O12_4,3,1,1.2750000000000004,2,4.240930585683054,0.11482022201408025,0.7219486482121646,0.2609451881831062,0.6179413024460845,0.999941596199176,0.29690431126777234
V_O12_4,3,1,1.3000000000000003,2,4.256405965708603,0.11561800150296149,0.7233373406550754,0.26033171382036424,0.6200216814604121,0.9999385218282328,0.29571273901549433
V_O12_4,3,1,1.3250000000000002,2,4.271928183983425,0.11631116376481294,0.7242692817424053,0.2595309860435621,0.6216836436260005,0.9999347819873706,0.2945150673912284
V_O12_4,3,1,1.35,2,4.287486410149875,0.11689139390420385,0.7247135444817697,0.25853218428608976,0.6228969390418255,0.9999302841137842,0.29331023611936585
V_O12_4,3,1,1.375,2,4.303069006731672,0.11734943999458193,0.7246345351500567,0.2573227121775108,0.6236271777897375,0.9999249204496155,0.29209687759514374
V_O12_4,3,1,1.4000000000000004,2,4.318663420322199,0.1176750360315054,0.7239915155101939,0.25588804667643855,0.6238354041264345,0.9999185663313858,0.2908732811915078
V_O12_4,3,1,1.4250000000000003,2,4.334256062140437,0.11785683834760292,0.7227381250946144,0.2542115936681382,0.6234776752501281,0.9999110786593406,0.28963734965241067
V_O12_4,3,1,1.4500000000000002,2,4.349832178378815,0.11788238554941606,0.7208219317504164,0.252274561946701,0.6225046713023716,0.9999022948026485,0.2883865464083135
V_O12_4,3,1,1.475,2,4.3653757115889125,0.11773809590067129,0.7181840528917096,0.25005587293247894,0.6208613763102349,0.9998920323274407,0.2871178325490995
V_O12_4,3,1,1.5,2,4.3808691555496075,0.1174093208513457,0.7147589088414905,0.24753213054425352,0.6184868870080272,0.9998800901101238,0.28582759215102854
V_O12_4,3,1,1.5250000000000004,2,4.396293407750033,0.11688047901178415,0.7104741939316964,0.24467768450979377,0.6153144284427842,0.9998662516216306,0.28451154472738915
V_O12_4,3,1,1.5500000000000003,2,4.411627625917053,0.11613530094229607,0.7052511807794516,0.24146483097049798,0.6112716819792028,0.9998502914327244,0.2831646438299726
V_O12_4,3,1,1.5750000000000002,2,4.426849098031518,0.11515722086582954,0.6990055073204728,0.23786420594932833,0.6062815617055005,0.9998319862693194,0.2817809613733788
V_O12_4,3,1,1.6,2,4.441933139069559,0.1139299553227448,0.6916486316131994,0.23384543871792302,0.6002636062994317,0.9998111321779338,0.2803535582242454
V_O12_4,3,1,1.625,2,4.456853032222448,0.1124383084466453,0.6830901696353286,0.2293781406658288,0.5931361790878646,0.9997875694284059,0.27887434316552506
V_O12_4,3,1,1.6500000000000004,2,4.471580037338259,0.11066923543471788,0.673241345011707,0.22443330655761312,0.5848196789668253,0.9997612164948734,0.2773339247082187
V_O12_4,3,1,1.6750000000000003,2,4.4860834942128465,0.1086131754620573,0.662019759714896,0.21898519266014058,0.5752409434783331,0.9997321135513024,0.27572146356775734
