aut_index,perm,comm_norm
128,"(12,0,6)(1,4,20,9,17)(13,16,14,21,5)(19,22,2,3,11)(8,15,23,7,10)",75.63068160475615
158,"(12,13,11,15,0,7,17,9)(18,1,5,3,6,19,23,21)(2,8)(10,22)",75.63068160475615
155,"(1,11,9)(13,23,15,19,5,3)(2,14,8,20)(21,7,17)(4,22,10,16)(0,6)",75.63068160475615
191,"(12,7,18,1,0,19,6,13)(2,14,20)(3,10,21,4)(9,16)(22,15)(5,17,23,11)",75.8946638440411
154,"(12,7,18,13)(1,6,19,0)(2,14,8,20)(3,22)(9,10,21,4)(16,15)(5,17,23,11)",76.10519036176179
184,"(12,23,9,20,18,11,3,14,0,17,21,2)(1,13)(19,7)(8,6,5,15)(4,10,22,16)",76.31513611335565
223,"(12,11,4,18,17,16,0,23,22)(1,21)(13,3,19,15)(2,8,14,20)(9,7)(10,6,5)",76.31513611335565
174,"(12,2,18,8,6,20,0,14)(13,7,19)(3,23)(9,17,21,5,15,11)",76.52450587883597
92,"(12,11,4,9,1)(18,23,16,21,7,6,17,10,15,19,0,5,22,3,13)(8,20,14)",76.7333043730035
111,"(12,6,0,18)(1,10,2,11,19,22,8,5,7,4,20,23,13,16,14,17)(3,15,9)",76.7333043730035
194,"(12,6)(1,2,10,17,9)(13,20,4,5,21,7,14,16,11,15)(19,8,22,23,3)",76.7333043730035
207,"(12,9,7,6,3,1,18,21,13)(19,0,15)(2,5,20,11)(8,23)(10,22,16)(17,14)",76.7333043730035
168,"(12,11,18,23,6,5,0,17)(1,3,14,7,9,8)(13,21,20)(19,15,2)(10,16)",76.7333043730035
216,"(12,7,14,11,3,16)(18,19,8,23,21,22)(1,20,17,9,10,0,13,2,5,15,4,6)",76.7333043730035
176,"(12,4,9,23,19,0,10,21,11,1,6,16,3,17,13)(18,22,15,5,7)(2,20,14,8)",76.7333043730035
73,"(12,1,8,15,17,0,7,14,21,11)(18,13,20,3,5,6,19,2,9,23)(4,10,22)",76.7333043730035
96,"(12,7,18,19,6,13,0,1)(2,17,9,16)(8,11,21,22,20,5,3,10)(4,14,23,15)",76.7333043730035
219,"(12,6,18)(1,7)(13,19)(2,9,17,14,3,11)(8,15,23)(20,21,5)(4,22,10)",76.94153624668537
126,"(12,11,20,0,5,2,18,17,8)(1,13)(3,9)(21,15)(4,10,22,16)(6,23,14)",76.94153624668537
