mu,t,line_id,prob,mask_size,density
0.75,0.5,25,0.0023957350194364195,2,0.0011978675097182097
0.75,0.5,26,0.13050945976926803,8,0.016313682471158504
0.75,0.5,27,0.026130343007484996,2,0.013065171503742498
0.75,0.5,28,0.49529801219679337,8,0.06191225152459917
0.75,0.5,29,0.003178945465332047,2,0.0015894727326660235
0.75,0.5,30,0.4435635569426366,8,0.055445444617829576
0.75,0.5,31,0.412793403681994,2,0.206396701840997
0.75,0.5,32,0.11515966822294907,8,0.014394958527868634
0.75,0.5,33,0.014185768838395948,2,0.007092884419197974
0.75,0.5,34,0.0023514602069184256,2,0.0011757301034592128
0.75,0.5,35,0.11489502562331644,8,0.014361878202914555
0.75,0.5,36,0.3976786997401175,8,0.049709837467514686
0.75,0.5,37,0.014188649402810193,2,0.007094324701405096
0.75,0.5,38,0.028752349938819276,2,0.014376174969409638
0.75,0.5,39,0.4580829826661277,8,0.05726037283326596
0.75,0.75,0,0.036575937897595175,2,0.018287968948797587
0.75,0.75,1,0.262512665789715,8,0.032814083223714374
0.75,0.75,2,0.17310486934624658,8,0.021638108668280823
0.75,0.75,3,0.16898582276339447,8,0.02112322784542431
0.75,0.75,4,0.24394467944536824,8,0.03049308493067103
0.75,0.75,5,0.21801801008684213,8,0.027252251260855266
0.75,0.75,6,0.5037160989721051,8,0.06296451237151314
0.75,0.75,7,0.21359075043727663,8,0.02669884380465958
0.75,0.75,8,0.5283226040046153,8,0.06604032550057691
0.75,0.75,9,0.10047963743689023,2,0.050239818718445114
0.75,0.75,10,1.0000000000000004,24,0.041666666666666685
0.75,0.75,11,0.17442503367226253,8,0.021803129209032816
0.75,0.75,12,0.03590597188089557,2,0.017952985940447783
0.75,0.75,13,0.253659385908543,8,0.03170742323856787
0.75,0.75,14,0.5023959346460891,8,0.06279949183076114
0.75,0.75,15,0.1931032919876186,8,0.024137911498452326
0.75,0.75,16,0.2626229377607243,8,0.03282786722009054
0.75,0.75,17,0.4837176763307331,8,0.06046470954134164
0.75,0.75,18,0.2392104461470484,8,0.02990130576838105
0.75,0.75,19,0.32317903168164874,8,0.04039737896020609
0.75,0.75,20,0.568501511446891,8,0.07106268893086137
0.75,0.75,21,0.17453530564327185,8,0.021816913205408982
0.75,0.75,22,0.5683912394758817,8,0.07104890493448521
0.75,0.75,23,0.28269315059061867,8,0.035336643823827334
0.75,0.75,24,0.16794968632360502,2,0.08397484316180251
0.75,0.75,25,0.015288388650157924,2,0.007644194325078962
0.75,0.75,26,0.3026915732319907,8,0.03783644665399884
0.75,0.75,27,0.02208106968761921,2,0.011040534843809605
0.75,0.75,28,0.5427715437661099,8,0.06784644297076374
0.75,0.75,29,0.020141744772237624,2,0.010070872386118812
0.75,0.75,30,0.5242035574217632,8,0.0655254446777204
