u,v,w,z2_triangle_parity,s3_holonomy,s3_class,s3_sign
1,2,18,0,"(0, 1, 2)",id,0
1,2,25,0,"(0, 1, 2)",id,0
1,2,26,0,"(0, 1, 2)",id,0
1,2,36,1,"(0, 1, 2)",id,0
1,2,37,1,"(0, 1, 2)",id,0
1,2,38,1,"(1, 0, 2)",transposition,1
1,2,39,1,"(2, 1, 0)",transposition,1
1,2,40,1,"(2, 1, 0)",transposition,1
1,2,41,1,"(2, 1, 0)",transposition,1
1,2,42,1,"(0, 1, 2)",id,0
1,2,43,1,"(2, 0, 1)",3-cycle,0
1,2,44,1,"(1, 2, 0)",3-cycle,0
1,3,4,0,"(0, 1, 2)",id,0
1,3,5,0,"(0, 1, 2)",id,0
1,3,6,0,"(1, 0, 2)",transposition,1
1,3,7,0,"(0, 1, 2)",id,0
1,3,8,0,"(0, 1, 2)",id,0
1,3,9,1,"(0, 2, 1)",transposition,1
1,3,12,1,"(0, 1, 2)",id,0
1,3,16,0,"(0, 1, 2)",id,0
1,3,17,1,"(0, 2, 1)",transposition,1
1,3,20,1,"(2, 1, 0)",transposition,1
1,3,24,0,"(0, 1, 2)",id,0
1,3,25,1,"(2, 1, 0)",transposition,1
1,3,28,1,"(1, 2, 0)",3-cycle,0
1,3,32,0,"(0, 1, 2)",id,0
1,3,37,0,"(0, 1, 2)",id,0
1,3,38,1,"(1, 0, 2)",transposition,1
1,3,40,0,"(0, 1, 2)",id,0
1,3,41,1,"(2, 1, 0)",transposition,1
1,3,43,0,"(0, 1, 2)",id,0
1,3,44,1,"(1, 2, 0)",3-cycle,0
1,4,5,0,"(0, 1, 2)",id,0
1,4,6,0,"(0, 1, 2)",id,0
1,4,7,0,"(2, 1, 0)",transposition,1
1,4,8,0,"(0, 1, 2)",id,0
1,4,10,1,"(1, 0, 2)",transposition,1
1,4,12,1,"(0, 1, 2)",id,0
1,4,14,0,"(0, 1, 2)",id,0
1,4,18,1,"(2, 1, 0)",transposition,1
1,4,20,1,"(2, 1, 0)",transposition,1
1,4,22,0,"(0, 1, 2)",id,0
1,4,26,1,"(0, 1, 2)",id,0
1,4,28,1,"(1, 2, 0)",3-cycle,0
1,4,30,0,"(0, 1, 2)",id,0
1,4,37,1,"(0, 1, 2)",id,0
1,4,38,0,"(0, 1, 2)",id,0
1,4,40,1,"(2, 1, 0)",transposition,1
1,4,41,0,"(0, 1, 2)",id,0
1,4,43,1,"(2, 0, 1)",3-cycle,0
1,4,44,0,"(0, 1, 2)",id,0
1,5,6,0,"(2, 1, 0)",transposition,1
1,5,7,0,"(0, 1, 2)",id,0
1,5,8,0,"(0, 1, 2)",id,0
1,5,9,1,"(0, 2, 1)",transposition,1
1,5,12,0,"(0, 1, 2)",id,0
1,5,14,1,"(1, 0, 2)",transposition,1
1,5,17,1,"(0, 2, 1)",transposition,1
1,5,20,0,"(0, 1, 2)",id,0
1,5,22,1,"(1, 2, 0)",3-cycle,0
1,5,25,1,"(2, 1, 0)",transposition,1
1,5,28,0,"(0, 1, 2)",id,0
1,5,30,1,"(2, 1, 0)",transposition,1
1,5,36,0,"(0, 1, 2)",id,0
1,5,37,1,"(0, 1, 2)",id,0
1,5,39,0,"(0, 1, 2)",id,0
1,5,40,1,"(2, 1, 0)",transposition,1
1,5,42,0,"(0, 1, 2)",id,0
1,5,43,1,"(2, 0, 1)",3-cycle,0
1,6,7,0,"(2, 1, 0)",transposition,1
1,6,8,0,"(0, 1, 2)",id,0
1,6,10,1,"(1, 0, 2)",transposition,1
1,6,14,1,"(1, 0, 2)",transposition,1
1,6,16,0,"(0, 1, 2)",id,0
1,6,18,1,"(2, 1, 0)",transposition,1
1,6,22,1,"(1, 2, 0)",3-cycle,0
1,6,24,0,"(0, 1, 2)",id,0
1,6,26,1,"(0, 1, 2)",id,0
1,6,30,1,"(2, 1, 0)",transposition,1
1,6,32,0,"(0, 1, 2)",id,0
1,6,36,1,"(0, 1, 2)",id,0
1,6,37,0,"(0, 1, 2)",id,0
1,6,39,1,"(2, 1, 0)",transposition,1
1,6,40,0,"(0, 1, 2)",id,0
1,6,42,1,"(0, 1, 2)",id,0
1,6,43,0,"(0, 1, 2)",id,0
1,7,8,0,"(0, 1, 2)",id,0
1,7,9,1,"(0, 2, 1)",transposition,1
1,7,14,0,"(0, 1, 2)",id,0
1,7,16,1,"(1, 2, 0)",3-cycle,0
1,7,17,1,"(0, 2, 1)",transposition,1
1,7,22,0,"(0, 1, 2)",id,0
1,7,24,1,"(2, 1, 0)",transposition,1
1,7,25,1,"(2, 1, 0)",transposition,1
1,7,30,0,"(0, 1, 2)",id,0
1,7,32,1,"(2, 0, 1)",3-cycle,0
1,7,36,1,"(0, 1, 2)",id,0
