triad_id,w33_points,centers,hol_mod12,hol_phase,n12_points,cover_mask,cover_size,cover12
262,12 13 35,2 14 18 19,9,-i,C26 C22 C02,4095,12,1
263,12 15 29,8 14 27 37,9,-i,C26 C18 F35,4095,12,1
264,12 15 34,8 14 27 37,3,i,C26 C18 C17,4095,12,1
265,12 16 24,8 19 23 36,9,-i,C26 X36 C19,4039,9,0
266,12 16 38,8 19 23 36,3,i,C26 X36 C34,3647,9,0
267,12 17 22,2 23 27 28,3,i,C26 C12 C30,4095,12,1
268,12 17 39,2 23 27 28,9,-i,C26 C12 C15,4095,12,1
269,12 20 25,8 18 28 32,9,-i,C26 C21 C37,4095,12,1
270,12 20 33,8 18 28 32,3,i,C26 C21 C32,4095,12,1
271,12 21 26,2 32 36 37,3,i,C26 C27 C07,4095,12,1
272,12 21 31,2 32 36 37,9,-i,C26 C27 C04,4095,12,1
273,12 22 39,2 23 27 28,3,i,C26 C30 C15,4095,12,1
274,12 24 38,8 19 23 36,9,-i,C26 C19 C34,4095,12,1
275,12 25 33,8 18 28 32,9,-i,C26 C37 C32,4095,12,1
276,12 26 31,2 32 36 37,3,i,C26 C07 C04,4039,9,0
277,12 29 34,8 14 27 37,9,-i,C26 F35 C17,4095,12,1
278,12 30 35,2 14 18 19,3,i,C26 C01 C02,4095,12,1
279,13 22 31,0 1 2 3,9,-i,C22 C30 C04,3647,9,0
280,13 23 33,0 16 17 18,9,-i,C22 C14 C32,4095,12,1
281,13 24 32,0 19 20 21,9,-i,C22 C19 C25,4095,12,1
282,13 25 37,1 15 18 21,9,-i,C22 C37 C03,4095,12,1
283,13 26 39,2 15 16 20,9,-i,C22 C07 C15,4095,12,1
284,13 27 38,3 15 17 19,9,-i,C22 F36 C34,3647,9,0
285,13 28 34,1 14 17 20,9,-i,C22 C10 C17,4095,12,1
286,13 29 36,3 14 16 21,9,-i,C22 F35 C09,4095,12,1
287,13 30 35,2 14 18 19,9,-i,C22 C01 C02,4095,12,1
288,14 16 21,11 13 29 36,9,-i,C29 X36 C27,4088,9,0
289,14 17 20,10 13 28 34,9,-i,C29 C12 C21,4095,12,1
290,14 18 19,12 13 30 35,9,-i,C29 C06 C28,4095,12,1
291,14 22 33,0 28 29 30,9,-i,C29 C30 C32,4095,12,1
292,14 23 32,0 10 11 12,9,-i,C29 C14 C25,4095,12,1
293,14 24 31,0 34 35 36,9,-i,C29 C19 C04,4095,12,1
294,14 25 39,11 15 28 35,3,i,C29 C37 C15,4088,9,0
295,14 26 38,10 15 30 36,3,i,C29 C07 C34,4095,12,1
296,14 27 37,12 15 29 34,3,i,C29 F36 C03,4095,12,1
297,15 16 20,8 13 26 39,3,i,C18 X36 C21,4095,12,1
298,15 17 19,9 13 27 38,3,i,C18 C12 C28,4095,12,1
299,15 18 21,7 13 25 37,3,i,C18 C06 C27,4088,9,0
300,15 22 32,0 25 26 27,9,-i,C18 C30 C25,4095,12,1
301,15 23 31,0 37 38 39,9,-i,C18 C14 C04,4095,12,1
302,15 24 33,0 7 8 9,9,-i,C18 C19 C32,4095,12,1
303,15 28 35,9 14 25 39,3,i,C18 C10 C02,4095,12,1
304,15 29 34,8 14 27 37,3,i,C18 F35 C17,4095,12,1
305,15 30 36,7 14 26 38,3,i,C18 C01 C09,4095,12,1
306,16 17 18,5 13 23 33,3,i,X36 C12 C06,4095,12,1
307,16 22 37,1 23 26 29,9,-i,X36 C30 C03,4095,12,1
308,16 24 38,8 19 23 36,3,i,X36 C19 C34,4095,12,1
309,16 25 34,1 5 8 11,9,-i,X36 C37 C17,4095,12,1
310,16 27 35,5 19 29 39,3,i,X36 F36 C02,4039,9,0
311,16 28 31,1 33 36 39,9,-i,X36 C10 C04,4095,12,1
312,16 30 32,11 19 26 33,3,i,X36 C01 C25,4095,12,1
313,17 22 39,2 23 27 28,9,-i,C12 C30 C15,511,9,0
314,17 24 37,9 21 23 34,3,i,C12 C19 C03,4095,12,1
315,17 25 36,5 21 28 38,3,i,C12 C37 C09,4095,12,1
316,17 26 35,2 5 9 10,9,-i,C12 C07 C02,4095,12,1
317,17 29 32,10 21 27 33,3,i,C12 F35 C25,4095,12,1
318,17 30 31,2 33 34 38,9,-i,C12 C01 C04,4095,12,1
319,18 22 38,3 23 25 30,9,-i,C06 C30 C34,3647,9,0
320,18 24 39,7 20 23 35,3,i,C06 C19 C15,4088,9,0
321,18 26 34,5 20 30 37,3,i,C06 C07 C17,4095,12,1
322,18 27 36,3 5 7 12,9,-i,C06 F36 C09,4095,12,1
323,18 28 32,12 20 25 33,3,i,C06 C10 C25,4088,9,0
324,18 29 31,3 33 35 37,9,-i,C06 F35 C04,4095,12,1
325,19 20 21,6 13 24 32,9,-i,C28 C21 C27,4095,12,1
326,19 22 34,1 24 27 30,9,-i,C28 C30 C17,3647,9,0
327,19 23 36,12 16 24 38,3,i,C28 C14 C09,4039,9,0
328,19 25 31,1 32 35 38,9,-i,C28 C37 C04,4095,12,1
329,19 26 33,9 16 30 32,3,i,C28 C07 C32,4039,9,0
330,19 28 37,1 6 9 12,9,-i,C28 C10 C03,4095,12,1
331,19 29 39,6 16 27 35,3,i,C28 F35 C15,4095,12,1
332,20 22 36,3 24 26 28,9,-i,C21 C30 C09,4095,12,1
333,20 23 35,10 18 24 39,3,i,C21 C14 C02,4095,12,1
334,20 25 33,8 18 28 32,3,i,C21 C37 C32,4095,12,1
335,20 27 31,3 32 34 39,9,-i,C21 F36 C04,3647,9,0
336,20 29 38,3 6 8 10,9,-i,C21 F35 C34,4095,12,1
337,20 30 37,6 18 26 34,3,i,C21 C01 C03,4095,12,1
338,21 22 35,2 24 25 29,9,-i,C27 C30 C02,4095,12,1
339,21 23 34,11 17 24 37,3,i,C27 C14 C17,4095,12,1
340,21 26 31,2 32 36 37,9,-i,C27 C07 C04,4095,12,1
341,21 27 33,7 17 29 32,3,i,C27 F36 C32,4095,12,1
342,21 28 38,6 17 25 36,3,i,C27 C10 C34,4095,12,1
343,21 30 39,2 6 7 11,9,-i,C27 C01 C15,4095,12,1
344,23 25 30,11 18 22 38,9,-i,C14 C37 C01,4095,12,1
345,23 26 29,10 16 22 37,9,-i,C14 C07 F35,4039,9,0
346,23 27 28,12 17 22 39,9,-i,C14 F36 C10,4095,12,1
347,24 25 29,8 21 22 35,3,i,C19 C37 F35,4088,9,0
348,24 26 28,9 20 22 36,3,i,C19 C07 C10,4088,9,0
349,24 27 30,7 19 22 34,3,i,C19 F36 C01,4095,12,1
350,25 26 27,5 15 22 32,3,i,C37 C07 F36,4095,12,1
351,28 29 30,6 14 22 33,9,-i,C10 F35 C01,4095,12,1
352,32 34 39,11 20 27 31,9,-i,C25 C17 C15,4095,12,1
353,32 35 38,10 19 25 31,9,-i,C25 C02 C34,4095,12,1
354,32 36 37,12 21 26 31,9,-i,C25 C09 C03,4095,12,1
355,33 34 38,8 17 30 31,3,i,C32 C17 C34,4095,12,1
356,33 35 37,9 18 29 31,3,i,C32 C02 C03,4095,12,1
357,33 36 39,7 16 28 31,3,i,C32 C09 C15,4095,12,1
358,34 35 36,5 14 24 31,3,i,C17 C02 C09,4095,12,1
359,37 38 39,6 15 23 31,9,-i,C03 C34 C15,4095,12,1
