triad_from,triad_to,component_id,shared_pair,dropped_w33,added_w33,drop_idx_in_sorted_prev,hol_from,hol_to,hol_flip,comm_k4_mod12,comm_phase_complex,comm_phase_angle_rad
264,304,85,15 34,12,29,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
264,277,85,12 34,15,29,1,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
264,263,85,12 15,34,29,2,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
265,266,86,12 16,24,38,2,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
265,274,86,12 24,16,38,1,9,9,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
265,308,86,16 24,12,38,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
266,265,86,12 16,38,24,2,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
266,274,86,12 38,16,24,1,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
266,308,86,16 38,12,24,0,3,3,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
267,273,87,12 22,17,39,1,3,3,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
267,268,87,12 17,22,39,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
267,313,87,17 22,12,39,0,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
268,273,87,12 39,17,22,1,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
268,267,87,12 17,39,22,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
268,313,87,17 39,12,22,0,9,9,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
269,334,88,20 25,12,33,0,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
269,275,88,12 25,20,33,1,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
269,270,88,12 20,25,33,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
270,275,88,12 33,20,25,1,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
270,269,88,12 20,33,25,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
270,334,88,20 33,12,25,0,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
271,272,89,12 21,26,31,2,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
271,276,89,12 26,21,31,1,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
271,340,89,21 26,12,31,0,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
272,276,89,12 31,21,26,1,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
272,340,89,21 31,12,26,0,9,9,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
272,271,89,12 21,31,26,2,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
273,313,87,22 39,12,17,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
273,267,87,12 22,39,17,2,3,3,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
273,268,87,12 39,22,17,1,3,9,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
274,265,86,12 24,38,16,2,9,9,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
274,266,86,12 38,24,16,1,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
274,308,86,24 38,12,16,0,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
275,334,88,25 33,12,20,0,9,3,1,6,-1.000000000000+0.000000000000j,3.1415926535895125
275,269,88,12 25,33,20,2,9,9,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
275,270,88,12 33,25,20,1,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
276,272,89,12 31,26,21,1,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
276,340,89,26 31,12,21,0,3,9,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
276,271,89,12 26,31,21,2,3,3,0,6,-1.000000000000+0.000000000000j,3.1415926535895125
277,264,85,12 34,29,15,1,9,3,1,6,-1.000000000000-0.000000000000j,-3.1415926535895125
277,304,85,29 34,12,15,0,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
277,263,85,12 29,34,15,2,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653588951
278,261,84,12 30,35,13,2,3,3,0,6,-1.000000000000-0.000000000000j,-3.1415926535895125
